Area	Site	Year	Age	dph	contig	big	svdets	ha	cha	cha2	inc	youngest	nAges	PO	PR	CO	ET	tp20h	ptp20h	ptd	note
CVCA	CVCA07	2018	2	0.033060096	0	0	1	30.2	30.2	30.247946	0	0	1	0	0	0	0	0	0	0	NA
CVCA	CVCA08	2018	2	0.150179249	1	0	7	46.6	77.8	77.808225	0	1	2	0	0	2	2	0.858167135	0.858167135	0.858167135	NA
PVER	PVER01	2008	2	0.222222222	0	0	2	9	9	9	0	0	1	1	0	0	1	2.222222222	0	0	NA
PVER	PVER01	2009	3	0.111111111	0	0	1	9	9	33	0	0	1	0	0	0	0	0	0	0	NA
PVER	PVER01	2010	4	0.222222222	0	0	2	9	9	53	0	0	1	0	0	0	0	0	0	0	NA
PVER	PVER01	2011	5	0.555555556	1	0	5	20	45	89	0	0	2	1	0	0	1	2.222222222	0	0	NA
PVER	PVER01	2012	6	0.444444444	1	1	4	20	119	163	0	0	2	0	1	1	2	4.444444444	4.444444444	4.444444444	NA
PVER	PVER01	2013	7	0.333333333	1	1	3	20	208	252	0	0	2	1	0	0	1	2.222222222	0	0	NA
PVER	PVER01	2014	8	0.111111111	1	1	1	20	299.6	343.6	0	0	2	0	0	0	0	0	0	0	NA
PVER	PVER01	2015	9	0.307692308	1	1	4	20	322.2	343.6	0	0	2	1	0	0	1	1.538461538	0	0	NA
PVER	PVER01	2016	10	0.153846154	1	1	2	20	322.2	343.6	0	0	2	1	0	0	1	1.538461538	0	0	NA
PVER	PVER01	2017	11	0	1	1	0	20	322.2	343.6	0	0	2	0	0	0	0	0	0	0	NA
PVER	PVER01	2018	12	0.461538462	1	1	6	20	322.2	343.6	0	0	2	1	0	0	1	1.538461538	0	0	NA
PVER	PVER02	2008	1	0	1	1	0	24	24	33	0	0	2	0	0	0	0	0	0	0	presv
PVER	PVER02	2009	2	0.208333333	1	1	5	24	24	33	1	1	2	0	0	2	2	1.666666667	1.666666667	1.666666667	NA
PVER	PVER02	2010	3	0.333333333	1	1	8	24	44	53	1	1	3	1	0	1	2	1.666666667	0.833333333	0.833333333	NA
PVER	PVER02	2011	4	0.291666667	1	1	7	24	44	89	1	0	3	2	0	3	5	4.166666667	2.5	2.5	NA
PVER	PVER02	2012	5	0.375	1	1	9	24	44	163	1	0	3	1	0	4	5	4.166666667	3.333333333	3.333333333	NA
PVER	PVER02	2013	6	0.5	1	1	12	24	44	252	1	0	3	2	0	1	3	2.5	0.833333333	0.833333333	NA
PVER	PVER02	2014	7	0.291666667	1	1	7	24	44	343.6	1	0	3	1	0	0	1	0.833333333	0.833333333	0	changepotoprx
PVER	PVER02	2015	8	0.511739197	1	1	14	27.3576855	52.124374	374.324374	1	0	3	2	2	2	6	4.386335971	2.924223981	2.924223981	NA
PVER	PVER02	2016	9	0.402080797	1	1	11	27.3576855	52.124374	374.324374	1	0	3	3	0	0	3	2.193167986	0	0	NA
PVER	PVER02	2017	10	0.219316799	1	1	6	27.3576855	52.124374	374.324374	1	0	3	1	0	0	1	0.731055995	0	0	NA
PVER	PVER02	2018	11	0.475186397	1	1	13	27.3576855	52.124374	374.324374	1	0	3	2	1	1	4	2.924223981	1.46211199	1.46211199	NA
PVER	PVER03	2009	1	0	1	1	0	20	44	53	0	0	2	0	0	0	0	0	0	0	presv
PVER	PVER03	2010	2	0.35	1	1	7	20	44	53	1	1	2	1	0	1	2	2	1	1	NA
PVER	PVER03	2011	3	0.35	1	1	7	20	44	89	1	0	2	2	1	2	5	5	3	3	NA
PVER	PVER03	2012	4	0.5	1	1	10	20	44	163	1	0	2	2	0	2	4	4	2	2	NA
PVER	PVER03	2013	5	0.75	1	1	15	20	44	252	1	0	2	2	0	2	4	4	2	2	NA
PVER	PVER03	2014	6	0.15	1	1	3	20	44	343.6	1	0	2	1	0	0	1	1	1	0	changepotoprx
PVER	PVER03	2015	7	0.444144965	1	1	11	24.7666885	52.124374	374.324374	1	0	2	0	0	1	1	0.8075363	0.8075363	0.8075363	NA
PVER	PVER03	2016	8	0.08075363	1	1	2	24.7666885	52.124374	374.324374	1	0	2	1	0	0	1	0.8075363	0.8075363	0	changepotoprx
PVER	PVER03	2017	9	0.282637705	1	1	7	24.7666885	52.124374	374.324374	1	0	2	1	1	1	3	2.422608901	1.6150726	1.6150726	NA
PVER	PVER03	2018	10	0.524898595	1	1	13	24.7666885	52.124374	374.324374	1	0	2	2	1	0	3	2.422608901	0.8075363	0.8075363	NA
PVER	PVER04	2010	1	0.055555556	1	1	2	36	45	89	1	0	2	0	1	0	1	0.555555556	0.555555556	0.555555556	NA
PVER	PVER04	2011	2	0.444444444	1	1	16	36	119	89	1	1	3	0	1	5	6	3.333333333	3.333333333	3.333333333	NA
PVER	PVER04	2012	3	0.555555556	1	1	20	36	208	163	1	1	3	2	3	11	16	8.888888889	7.777777778	7.777777778	NA
PVER	PVER04	2013	4	0.5	1	1	18	36	299.6	252	1	0	3	0	3	0	3	1.666666667	1.666666667	1.666666667	NA
PVER	PVER04	2014	5	0.638888889	1	1	23	36	299.6	343.6	1	0	3	2	0	4	6	3.333333333	2.222222222	2.222222222	NA
PVER	PVER04	2015	6	0.582524272	1	1	24	41.2	322.2	374.324374	1	0	3	1	2	5	8	3.883495146	3.398058252	3.398058252	NA
PVER	PVER04	2016	7	0.558252427	1	1	23	41.2	322.2	374.324374	1	0	3	2	2	4	8	3.883495146	2.912621359	2.912621359	NA
PVER	PVER04	2017	8	0.242718447	1	1	10	41.2	322.2	374.324374	1	0	3	1	1	1	3	1.45631068	0.970873786	0.970873786	NA
PVER	PVER04	2018	9	0.461165049	1	1	19	41.2	322.2	374.324374	1	0	3	0	4	0	4	1.941747573	1.941747573	1.941747573	NA
PVER	PVER05	2011	1	0	1	1	0	74	119	163	0	0	2	0	0	0	0	0	0	0	presv
PVER	PVER05	2012	2	0.418918919	1	1	31	74	119	163	1	1	2	4	2	6	12	3.243243243	2.162162162	2.162162162	NA
PVER	PVER05	2013	3	0.905405405	1	1	67	74	208	252	1	1	3	3	4	2	9	2.432432432	1.621621622	1.621621622	NA
PVER	PVER05	2014	4	1.054054054	1	1	78	74	299.6	343.6	1	0	3	6	6	10	22	5.945945946	4.324324324	4.324324324	NA
PVER	PVER05	2015	5	0.491990847	1	1	43	87.4	322.2	374.324374	1	0	3	6	1	5	12	2.745995423	1.372997712	1.372997712	NA
PVER	PVER05	2016	6	0.514874142	1	1	45	87.4	322.2	374.324374	1	0	3	7	5	9	21	4.805491991	3.203661327	3.203661327	NA
PVER	PVER05	2017	7	0.28604119	1	1	25	87.4	322.2	374.324374	1	0	3	1	3	2	6	1.372997712	1.14416476	1.14416476	NA
PVER	PVER05	2018	8	0.343249428	1	1	30	87.4	322.2	374.324374	1	0	3	4	1	6	11	2.517162471	1.601830664	1.601830664	NA
PVER	PVER06	2012	1	0	1	1	0	89	208	252	0	0	2	0	0	0	0	0	0	0	presv
PVER	PVER06	2013	2	0.741573034	1	1	66	89	208	252	1	1	2	3	1	7	11	2.471910112	1.797752809	1.797752809	NA
PVER	PVER06	2014	3	0.966292135	1	1	86	89	208	343.6	1	1	3	5	1	25	31	6.966292135	5.842696629	5.842696629	NA
PVER	PVER06	2015	4	0.808988764	1	1	72	89	322.2	374.324374	1	1	3	8	7	16	31	6.966292135	5.168539326	5.168539326	NA
PVER	PVER06	2016	5	0.662921348	1	1	59	89	322.2	374.324374	1	1	3	8	2	21	31	6.966292135	5.168539326	5.168539326	NA
PVER	PVER06	2017	6	0.528089888	1	1	47	89	322.2	374.324374	1	1	3	4	4	9	17	3.820224719	2.921348315	2.921348315	NA
PVER	PVER06	2018	7	0.415730337	1	1	37	89	322.2	374.324374	1	1	3	4	0	13	17	3.820224719	2.921348315	2.921348315	NA
PVER	PVER07	2013	1	0	1	1	0	91.6	299.6	343.6	0	0	2	0	0	0	0	0	0	0	presv
PVER	PVER07	2014	2	0.56768559	1	1	52	91.6	299.6	343.6	1	1	2	5	2	10	17	3.711790393	2.620087336	2.620087336	NA
PVER	PVER07	2015	3	0.600436681	1	1	55	91.6	322.2	374.324374	1	1	2	5	4	12	21	4.585152838	3.493449782	3.493449782	NA
PVER	PVER07	2016	4	0.731441048	1	1	67	91.6	322.2	374.324374	1	1	2	17	6	16	39	8.515283843	4.80349345	4.80349345	NA
PVER	PVER07	2017	5	0.436681223	1	1	40	91.6	322.2	374.324374	1	1	2	5	1	12	18	3.930131004	2.838427948	2.838427948	NA
PVER	PVER07	2018	6	0.425764192	1	1	39	91.6	322.2	374.324374	1	1	2	3	1	6	10	2.183406114	1.528384279	1.528384279	NA
PVER	PVER08	2016	2	0	0	0	0	14.6	14.6	14.6	0	1	1	0	0	0	0	0	0	0	NA
PVER	PVER08	2017	3	0.136986301	0	0	2	14.6	14.6	14.6	0	1	1	0	0	0	0	0	0	0	NA
PVER	PVER08	2018	4	0.136986301	0	0	2	14.6	14.6	14.6	0	1	1	0	0	0	0	0	0	0	NA
